上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/01/21
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","28.46","+0.28","28.33","28.47","28.25","36,166,000","1,026,930,420","3,954","28.45","194","28.46","147","10,643,692,000","9,999.95","0.01"
"00687B","國泰20年美債","29.58","+0.29","29.44","29.58","29.37","28,296,000","834,812,610","4,246","29.57","120","29.58","763","8,521,264,000","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.05","+0.11","8.99","9.05","8.99","67,700","611,248","38","9.04","30","9.05","106","202,298","9,999.95","0.01"
"00694B","富邦美債1-3","42.28","-0.10","42.38","42.38","42.24","102,000","4,310,820","30","42.29","2","42.30","1","186,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.44","+0.11","35.31","35.45","35.31","290,000","10,255,710","29","35.44","2","35.45","40","32,686,000","9,999.95","0.01"
"00696B","富邦美債20年","30.53","+0.27","30.33","30.54","30.32","4,939,000","150,588,550","138","30.53","42","30.54","108","1,054,181,000","9,999.95","0.01"
"00697B","元大美債7-10","36.08","+0.09","35.97","36.10","35.94","867,000","31,234,330","109","36.07","5","36.08","7","52,212,000","9,999.95","0.01"
"00718B","富邦中國政策債","21.11","+0.08","21.11","21.11","21.11","1,000","21,110","1","21.04","20","21.09","1","210,501,000","9,999.95","0.01"
"00719B","元大美債1-3","32.01","-0.02","32.07","32.08","31.93","3,207,000","102,597,400","685","32.00","12","32.01","109","426,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","34.71","+0.18","34.60","34.72","34.54","8,803,000","305,044,660","961","34.71","944","34.72","47","4,319,609,000","9,999.95","0.01"
"00722B","群益投資級電信債","38.44","+0.26","38.28","38.44","38.21","4,667,000","179,136,760","225","38.43","5","38.44","36","1,535,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","33.51","+0.24","33.31","33.51","33.31","162,000","5,421,520","9","33.49","20","33.51","57","1,504,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","35.22","+0.17","35.11","35.23","35.06","7,019,000","246,914,690","429","35.22","25","35.23","12","2,852,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","36.93","+0.21","36.84","36.93","36.73","9,646,000","355,642,270","1,102","36.92","59","36.93","452","3,530,706,000","9,999.95","0.01"
"00726B","國泰新興投等債","33.42","+0.06","33.36","33.43","33.35","221,000","7,384,370","31","33.45","2","33.46","1","1,164,989,000","9,999.95","0.01"
"00727B","國泰優選非投等債","41.18","-0.13","41.12","41.22","41.06","139,000","5,722,230","8","41.18","30","41.21","1","88,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","15.48","+0.05","15.40","15.48","15.40","842,000","13,003,540","24","15.44","111","15.45","8","29,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","40.19","+0.24","39.95","40.20","39.95","5,289,000","212,312,760","213","40.18","828","40.19","3","1,664,471,000","9,999.95","0.01"
"00741B","富邦全球非投等債","39.69","-0.09","39.60","39.70","39.53","255,000","10,118,870","29","39.66","2","39.69","1","18,128,000","9,999.95","0.01"
"00746B","富邦A級公司債","36.50","+0.22","36.31","36.50","36.30","1,277,000","46,531,230","39","36.48","449","36.49","2","2,364,964,000","9,999.95","0.01"
"00749B","凱基新興債10+","31.07","+0.20","30.98","31.07","30.98","102,000","3,168,960","5","31.02","31","31.06","1","951,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","34.88","+0.24","34.88","34.88","34.88","100,000","3,488,000","4","34.84","47","34.88","1","147,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","33.57","+0.24","33.41","33.57","33.38","8,637,000","289,149,570","873","33.56","418","33.57","30","4,698,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","36.02","+0.27","35.84","36.03","35.84","159,000","5,721,780","13","36.01","20","36.03","1","828,900,000","9,999.95","0.01"
"00755B","群益投資級公用債","34.44","+0.23","34.28","34.46","34.28","190,000","6,538,240","18","34.46","20","34.47","1","213,730,000","9,999.95","0.01"
"00756B","群益投等新興公債","32.15","+0.19","32.00","32.16","32.00","186,000","5,974,450","26","32.15","1","32.16","1","1,264,300,000","9,999.95","0.01"
"00758B","復華能源債","53.15","+0.40","53.15","53.15","53.15","100,000","5,315,000","2","52.90","25","53.40","10","5,525,000","9,999.95","0.01"
